01-CI-000009,FIRST CHILD LEARNING CENTER,CRU,"7931 A & B Manila Ave.,","Sabcum, Subic Bay, Zambales",0,0,0
01-CG-000036,DOMINICAN SCHOOL-STA. RITA,CRU,"San Matias,","Sta. Rita, Pampanga",OP DOMINICAN,0,0
01-CB-000114,UNIVERSITY OF NUEVA CACERES-BATAAN,CRU,0,0,0,0,0
01-CG-000187,DAU CENTRAL ELEM. SPED,CRU,0,"Dau, Mabalacat, Pampanga",0,0,0
01-CG-000132,SAN GUILLERMO DIOCESE SCHOOL,CRU,"Madapdap Resettlement,","Mabalacat, Pampanga",0,PAMPANGA,0
01-CG-000058,GREAT SHEPHERD CHRISTIAN ACADEMY,CRU,"1St Gate, Mawaque Resettlement,","Mabalacat, Pampanga",0,0,0
01-CI-000017,IMM. CONCEPCION ACADEMY,CRU,Cabangan,Zambales,0,IBA,0
01-CG-000029,CHRISTIAN VISION ACADEMY,CRU,Sta Lucia Resettlement,"Magalang, Pamp.",0,0,0
01-CB-000088/01-CB-000089,THE PENINSULA SCHOOL (E/HS),CRU,"Alangan,","Limay, Bataan",0,0,0
01-NA-000253,ST. DOMINIC SAVIO COLL.-PANGARAP,CRU,"Blk 1 Lot 6, Mt. Heights Subd.,","Quirino H-Way,Pangarap,Kalookan City",0,0,0
01-CG-000034,DOMINICAN KIDDIE SCHOOL-MEXICO,CRU,Sto. Domingo,"Mexico, Pampanga",0,0,0
01-CA-000066,ROYAL INTERNATIONAL SCHOOL,CRU,"Lot 9-10 Blk 3-13, Ramon Dizon St.,","Diamond Subd., Balibago, Angeles City",0,0,0
01-NA-000074,GOLDEN LINK SCHOOL,CRU,"Waling-Waling Cor Dona Aurora St.,","Brgy. 177, Camarin, Kalookan City",0,0,0
01-CF-000025,SBMA SPED EDUCATION CENTER,CRU,"Kalayaan Ave., Sbma,","Subic Bay Freeport,Olongapo City",0,0,0
01-CA-000051,LIVING STONE INTERNATIONAL SCHOOL,CRU,"43-B Marlim Blvd.Cor Debra St.,","Pulung Marugal, Angeles City",0,0,0
01-CG-000048,FILBERN SCHOOL,CRU,"Suborvia Maimpis, Sindalan,","San Fernando, Pampanga",0,0,0
01-CI-000040,ST. ANTHONY ACADEMY,CRU,"Matain,","Subic, Zambales",0,IBA,0
01-CB-000067,ST. CATHERINE OF SIENA ACADEMY,CRU,"Brgy San Roque,","Samal, Bataan",0,BATAAN,0
01-CB-000002,ASIA PACIFIC COLLEGE OF ADVANCE STUDIES,CRU,"A.H. Banzon St.,","Ibayo, Balanga City, Bataan",0,0,0
01-CB-000026,ECUMENICAL LEARNING CTR.-BALANGA,CRU,"Capitol Drive,","Balanga, Bataan",0,0,0
01-CB-000080,ST. PETER OF VERONA SCHOOL,CRU,Poblasyon,"Hermosa, Bataan",SFIC,BATAAN,0
01-CG-000084,LA VERDAD CHRISTIAN SCHOOL,CRU,0,"Sampaloc St., Apalit, Pampanga",0,0,0
01-CG-000033,DIVINE WISDOM SCHOOL,CRU,"Resettlement Area,","Floridablanca, Pampanga",0,0,0
01-NA-000256,ST. FRANCIS DE SALES ACADEMY,CRU,"Banal Na Aklat St., Ph-5,","Package 5, Bagong Silang, Caloocan City",0,0,0
01-CG-000103,MEXICO ECUMENICAL KIDDIE SCHOOL,CRU,(United Methodist Church)Poblacion,"Parian, Mexico, Pampanga",0,0,0
01-CB-000008,BATAAN LEARNING SCHOOL,CRU,"Kaparangan,","Orani, Bataan",0,0,0
