01-CB-000034/01-CB-000033,HOLY ROSARY PAROCHIAL INST.(E/H),,CRU,oblsyon,"Orani, Bataan", ,BATAAN,
01-CI-000055,SUBIC MONTESSORI SCHOOL,,CRU,"Bldg. 737 Labitan St., Central Business","District, Subic Bay Freeport, Zambales", , ,
01-NA-000074,GOLDEN LINK SCHOOL,,CRU,"Waling-Waling cor Dona Aurora St.,","Brgy. 177, Camarin, Kalookan City", , ,
01-CG-000029,CHRISTIAN VISION ACADEMY,,CRU,sta lucia resettlement,"Magalang, Pamp.", , ,
01-NA-000248,ST. ANTHONY NOVA SCHOOL (E/HS),,CRU,Amparo Subdivision,"Novaliches, Kaloocan City", , ,
01-CB-000088/01-CB-000089,THE PENINSULA SCHOOL (E/HS),,CRU,"Alangan,","Limay, Bataan", , ,
01-CG-000048,FILBERN SCHOOL,,CRU,"Suborvia Maimpis, Sindalan,","San Fernando, Pampanga", , ,
01-CG-000036,DOMINICAN SCHOOL-STA. RITA,,CRU,"San Matias,","Sta. Rita, Pampanga",OP DOMINICAN, ,
01-CA-000051,LIVING STONE INTERNATIONAL SCHOOL,,CRU,"43-B Marlim Blvd.cor Debra St.,","Pulung Marugal, Angeles City", , ,
01-CI-000009,FIRST CHILD LEARNING CENTER,,CRU,"7931 A & B Manila Ave.,","Sabcum, Subic Bay, Zambales", , ,
01-CG-000187,DAU CENTRAL ELEM. SPED,,CRU,,"Dau, Mabalacat, Pampanga", , ,
01-CI-000017,IMM. CONCEPCION ACADEMY,,CRU,cabangan,Zambales, ,IBA,
01-CG-000132,SAN GUILLERMO DIOCESE SCHOOL,,CRU,"Madapdap Resettlement,","Mabalacat, Pampanga", ,PAMPANGA,
01-CG-000058,GREAT SHEPHERD CHRISTIAN ACADEMY,,CRU,"1st Gate, Mawaque Resettlement,","Mabalacat, Pampanga", , ,
01-CA-000066,ROYAL INTERNATIONAL SCHOOL,,CRU,"Lot 9-10 Blk 3-13, Ramon Dizon St.,","Diamond Subd., Balibago, Angeles City", , ,
01-NA-000253,ST. DOMINIC SAVIO COLL.-PANGARAP,,CRU,"Blk 1 Lot 6, Mt. Heights Subd.,","Quirino H-way,Pangarap,Kalookan City", , ,
